,0
64,"['rosacea', 'and', 'saw', 'different', 'in', 'my', 'redness']"
65,"['cream', 'truly', 'doe', 'soothe', 'it', 'worth', 'the', 'price']"
66,"['expensive', 'version', 'of', 'cerave']"
67,"['aggravate', 'my', 'skin', 'but', 'rather', 'calm']"
68,"['price', 'for', 'the', 'tub']"
69,"['fab', 'ultra']"
70,"['product', 'every', 'winter', 'this', 'is', 'probably', '10', 'bottle']"
71,"['probably', '10', 'bottle', 'wish', 'can', 'give', 'million', 'star']"
72,"['use', 'this', 'product', 'every', 'winter']"
73,"['probably', '10', 'bottle']"
74,"['this', 'product', 'every']"
75,"['alot', 'during']"
76,"['use', 'this', 'product', 'it', 'help', 'alot', 'during']"
77,"['husand', 'and', 'my', 'whole', 'family', 'use', 'this', 'product']"
78,"['can', 'give', 'million', 'star', 'my', 'husand']"
79,"['whole', 'family', 'use']"
80,"['honestly', 'this', 'stuff', 'is', 'not', 'a', 'moisturizing']"
81,"['itchy', 'dry', 'neck', 'despite', 'slathering', 'this', 'stuff', 'on']"
82,"['moisturizing', 'a', 'it', 'claim', 'to', 'be', 'got', 'retinol']"
83,"['it', 'make', 'my', 'makeup', 'pill']"
84,"['retinol', 'irritation', 'on', 'my', 'neck', 'and', 'figured']"
85,"['pill', 'like', 'crazy', 'it', 'definitely', 'rip', 'off']"
86,"['this', 'stuff', 'is', 'not']"
87,"['this', 'stuff', 'on', 'religiously', 'also', 'it']"
88,"['over', 'two', 'week', 'and', 'still', 'wake']"
89,"['it', 'claim', 'to', 'be']"
90,"['work', 'yes', 'really', 'well', 'but', 'it', 'basically', 'cerave']"
91,"['it', 'basically', 'cerave', 'you', 'might', 'a', 'well']"
92,"['yes', 'really', 'well', 'but', 'it', 'basically', 'cerave']"
93,"['yes', 'really', 'well', 'but', 'it', 'basically', 'cerave', 'you']"
94,"['just', 'save', 'your', 'money', 'and', 'buy', 'cerave']"
95,"['well', 'but', 'it', 'basically', 'cerave']"
96,"['cerave', 'you']"
97,"['doe', 'it', 'work', 'yes', 'really', 'well', 'but', 'it']"
98,"['doe', 'it', 'work']"
99,"['might', 'a', 'well', 'just', 'save', 'your', 'money', 'and']"
100,"['this', 'is', 'the', 'perfect', 'moisturizer', 'for', 'me']"
101,"['helped', 'restore', 'my', 'skin', 'barrier', 've', 'repurchased', 'serval']"
102,"['ha', 'greatly', 'helped', 'restore', 'my', 'skin', 'barrier', 've']"
103,"['serval', 'time', 'and', 'the', 'product', 'always', 'last', 'me']"
104,"['the', 'way', 'it', 'make', 'my', 'skin', 'feel', 'and']"
105,"['barrier', 've', 'repurchased', 'serval']"
106,"['it', 'ha', 'greatly']"
107,"['and', 'the', 'product']"
108,"['while', 'love', 'it']"
109,"['this', 'is']"
110,"['use', 'this', 'on', 'everything', 'every', 'body', 'part']"
111,"['holy', 'grail', 'use', 'this', 'on', 'everything', 'every', 'body']"
112,"['use', 'this', 'on', 'everything']"
113,"['oil', 'dry', 'skin']"
114,"['skin', 'and', 'immediately', 'see', 'result']"
115,"['skin', 'and']"
116,"['holy', 'grail', 'use', 'this', 'on']"
117,"['use', 'this', 'on']"
118,"['have', 'one', 'in', 'my', 'car', 'in', 'my', 'room']"
119,"['even', 'give']"
120,"['fav', 'for', 'year', 'use', 'the', 'face', 'moisturizer', 'exclusively']"
121,"['moisturizer', 'exclusively', 'and', 'swear', 'by']"
122,"['cleanser', 'tried', 'this', 'moisturizer', 'and', 'it']"
123,"['me', 'feeling', 'not', 'just', 'moisturized', 'but', 'nourished']"
124,"['wonder', 'for', 'my', 'skin', 'am']"
125,"['touch', 'oily', 'in', 'my', 'zone', 'but', 'dry']"
126,"['exclusively', 'and', 'swear', 'by', 'the', 'cleanser']"
127,"['ve', 'been', 'fan', 'of', 'fav']"
128,"['crack', 'this', 'is', 'love', 'for', 'me']"
129,"['any', 'flake']"
130,"['apply', 'other', 'product', 'it', 'peel', 'right', 'off', 'when']"
131,"['peel', 'right', 'off', 'when', 'you', 'touch', 'your', 'face']"
132,"['it', 'very', 'moisturizing', 'and', 'feel', 'great', 'when', 'applying']"
133,"['about', 'month', 'it', 'very', 'moisturizing', 'and', 'feel', 'great']"
134,"['don', 'wait', 'long', 'enough', 'to', 'apply', 'other', 'product']"
135,"['feel', 'great', 'when', 'applying', 'but', 'if', 'you']"
136,"['ive', 'been', 'using', 'this', 'everyday']"
137,"['long', 'enough', 'to', 'apply', 'other']"
138,"['you', 'touch', 'your', 'face']"
139,"['too', 'much', 'or', 'if', 'you', 'you', 'don', 'wait']"
140,"['best', 'moisturizer', 'especially', 'for', 'dry', 'sensitive', 'skin']"
141,"['best', 'moisturizer', 'especially', 'for', 'dry', 'sensitive', 'skin', 'love']"
142,"['best', 'moisturizer', 'especially', 'for', 'dry', 'sensitive']"
143,"['best', 'moisturizer', 'especially', 'for', 'dry']"
144,"['best', 'moisturizer', 'especially', 'for']"
145,"['moisturizer', 'especially', 'for', 'dry', 'sensitive', 'skin']"
146,"['moisturizer', 'especially', 'for', 'dry', 'sensitive', 'skin', 'love', 'that']"
147,"['for', 'dry', 'sensitive', 'skin', 'love', 'that', 'it']"
148,"['scent', 'and', 'keep', 'my', 'skin', 'feeling', 'hydrated', 'and']"
149,"['hydrated', 'and', 'smooth']"
150,"['searching', 'for', 'deeply', 'moisturizing', 'and', 'protective', 'cream']"
151,"['in', 'dry', 'climate', 'she', 'absolutely', 'love', 'this', 'cream']"
152,"['absolutely', 'love', 'this', 'cream', 'for', 'the', 'price']"
153,"['this', 'cream', 'for']"
154,"['protective', 'cream', 'because', 'she', 'life']"
155,"['she', 'said', 'her', 'skin', 'just', 'drink', 'it']"
156,"['it', 'fantastic', 'formula', 'and']"
157,"['this', 'for', 'my', 'mom', 'who', 'ha']"
158,"['large', 'size']"
159,"['going', 'to', 'be', 'slathering', 'this', 'on']"
160,"['my', 'go', 'to', 'moisturizer', 'to', 'use', 'with', 'retinol']"
161,"['cream', 'for', 'sensitive', 'damaged', 'skin']"
162,"['dead', 'skin', 'flake', 'from', 'how', 'much', 'it', 'pilled']"
163,"['how', 'much', 'it', 'pilled', 'during', 'the', 'night']"
164,"['great', 'for', 'my', 'skin', 'when', 'it', 'wa', 'stressed']"
165,"['used', 'it', 'with', 'go', 'to', 'sleep']"
166,"['is', 'good', 'product', 'do', 'recommend', 'people']"
167,"['like', 'my', 'pillow', 'wa', 'covered', 'in', 'dead', 'skin']"
168,"['because', 'really']"
169,"['it', 'on', 'and', 'when']"
170,"['recommend', 'for', 'people', 'with', 'dry', 'to', 'normal', 'skin']"
171,"['this', 'is', 'great', 'everyday', 'moisturizer', 'that', 'is', 'clean']"
172,"['staple', 'in', 'my', 'skin', 'care', 'routine']"
173,"['work', 'for', 'any', 'skin']"
174,"['skin', 'a', 'it', 'is', 'very', 'hydrating']"
175,"['it', 'is', 'very', 'hydrating', 'but', 'it', 'not', 'oily']"
176,"['my', 'skin', 'care', 'routine', 'would']"
177,"['it', 'not', 'oily', 'so', 'could', 'work', 'for', 'any']"
178,"['hydrating', 'staple', 'in']"
179,"['highly', 'recommend', 'for']"
180,"['dry', 'patch', 'and', 'no', 'matter', 'what', 'moisturizer', 'have']"
181,"['that', 'ha', 'helped', 'my', 'skin', 'had', 'dry', 'patch']"
182,"['moisturizer', 'this', 'is', 'the', 'only', 'one', 'that', 'ha']"
183,"['really', 'dry', 'skin', 'and', 'always', 'had', 'difficulty', 'finding']"
184,"['have', 'really', 'dry', 'skin', 'and', 'always']"
185,"['always', 'had', 'difficulty', 'finding', 'the', 'right', 'moisturizer']"
186,"['my', 'holy', 'grail', 'have', 'really', 'dry', 'skin']"
187,"['ha', 'helped', 'my', 'skin']"
188,"['it', 'go', 'away', 'except', 'for', 'this']"
189,"['is', 'my', 'holy', 'grail', 'have', 'really']"
190,"['recommend', 'for', 'moisturizer']"
191,"['wouldn', 'recommend', 'for', 'moisturizer']"
192,"['than', 'before', 'wouldn', 'recommend', 'for', 'moisturizer']"
193,"['more', 'red', 'than', 'before', 'wouldn', 'recommend', 'for', 'moisturizer']"
194,"['skin', 'to', 'burn', 'and', 'break', 'out']"
195,"['it', 'go', 'using', 'it', 'cause', 'my', 'skin', 'to']"
196,"['burn', 'and', 'break', 'out', 'red', 'spot', 'became']"
197,"['this', 'product']"
198,"['product', 'had', 'really', 'review']"
199,"['give', 'it']"
200,"['using', 'this', 'ultra', 'repair', 'cream', 'because', 'my', 'skin']"
201,"['is', 'super', 'creamy', 'hydrating', 'and', 'soothing', 'it', 'is']"
202,"['is', 'instant', 'hydration', 'and', 'helped', 'my', 'dry', 'skin']"
203,"['it', 'doesn', 'feel', 'sticky', 'either', 'it', 'feel', 'amazing']"
204,"['cream', 'because', 'my', 'skin', 'wa', 'very', 'dry']"
205,"['dry', 'skin', 'after', 'the', 'first']"
206,"['very', 'dry', 'and', 'irritated', 'and', 'it', 'is', 'super']"
207,"['this', 'ultra']"
208,"['amazing', 'and', 'would', 'highly', 'recommend']"
209,"['is', 'instant']"
210,"['used', 'this', 'cream', 'few', 'time', 'for', 'my', 'face']"
211,"['work', 'well', 'with', 'my', 'other', 'face', 'treatment']"
212,"['other', 'face', 'treatment', 'it', 'started', 'to', 'pill', 'but']"
213,"['it', 'didn', 'work', 'well', 'with', 'my', 'other', 'face']"
214,"['love', 'it', 'a', 'body', 'cream']"
215,"['for', 'my', 'face', 'but', 'it', 'didn', 'work']"
216,"['to', 'pill', 'but', 'love', 'it', 'a', 'body']"
217,"['my', 'other', 'face']"
218,"['it', 'didn', 'work', 'well', 'with', 'my', 'other']"
219,"['used', 'this']"
220,"['love', 'love', 'love', 'great', 'for', 'hydration', 'for', 'people']"
221,"['who', 'love', 'make', 'up', 'or', 'not']"
222,"['hydration', 'for', 'people', 'who', 'love', 'make', 'up']"
223,"['make', 'up', 'or', 'not', 'this', 'is', 'the', 'power']"
224,"['love', 'love', 'love', 'love', 'great']"
225,"['for', 'people', 'who', 'love', 'make']"
226,"['who', 'love']"
227,"['up', 'or']"
228,"['great', 'for']"
229,"['not', 'this']"
230,"['love', 'this', 'thick', 'hydrating', 'cream', 'it', 'so', 'smooth']"
231,"['love', 'love', 'this', 'thick', 'hydrating', 'cream', 'it']"
232,"['love', 'love', 'love', 'this', 'thick', 'hydrating', 'cream']"
233,"['love', 'this', 'thick', 'hydrating', 'cream']"
234,"['love', 'this', 'thick', 'hydrating', 'cream', 'it', 'so']"
235,"['thick', 'hydrating', 'cream', 'it', 'so', 'smooth', 'and', 'comfortable']"
236,"['cream', 'it', 'so', 'smooth', 'and', 'comfortable', 'on']"
237,"['love', 'love', 'love', 'this', 'thick']"
238,"['so', 'smooth', 'and', 'comfortable']"
239,"['comfortable', 'on', 'the', 'skin']"
240,"['redness', 'no', 'breakout', 'have', 'normal', 'to', 'dry', 'skin']"
241,"['redness', 'no', 'breakout', 'have']"
242,"['breakout', 'have', 'normal', 'to', 'dry', 'skin', 'and', 'thisssss']"
243,"['no', 'breakout', 'have', 'normal', 'to']"
244,"['if', 'have', 'oily', 'skin']"
245,"['breakout', 'have']"
246,"['oily', 'skin', 'best', 'cream', 'ever']"
247,"['skin', 'and', 'thisssss', 'i', 'amazing', 'but', 'do', 'not']"
248,"['redness', 'no']"
249,"['recommend', 'if', 'have']"
250,"['of', 'acne', 'or', 'bump', 'when', 'using', 'this']"
251,"['nicely', 'no', 'sign', 'of', 'acne', 'or', 'bump', 'when']"
252,"['rub', 'on', 'nicely', 'no', 'sign', 'of', 'acne']"
253,"['bump', 'when', 'using', 'this']"
254,"['acne', 'or']"
255,"['amount', 'of', 'moisture', 'and', 'rub', 'on']"
256,"['love', 'this', 'product', 'give', 'great', 'amount', 'of', 'moisture']"
257,"['this', 'product', 'give', 'great', 'amount']"
258,"['rub', 'on', 'nicely', 'no', 'sign']"
259,"['using', 'this']"
260,"['skin', 'and', 'this', 'wa', 'perfect', 'a', 'night', 'cream']"
261,"['have', 'combo', 'skin', 'and', 'this', 'wa', 'perfect']"
262,"['night', 'cream', 'for']"
263,"['body', 'lotion', 'recommend']"
264,"['night', 'this', 'is', 'the', 'best', 'also', 'use', 'it']"
265,"['use', 'it', 'on', 'my', 'dry', 'body', 'a', 'body']"
266,"['needing', 'more', 'hydration', 'at', 'night']"
267,"['have', 'combo']"
268,"['is', 'the', 'best', 'also', 'use']"
269,"['this', 'is']"
270,"['best', 'moisturizer', 've', 'ever', 'used', 'have', 'super', 'dry']"
271,"['is', 'truly', 'the', 'best', 'moisturizer', 've', 'ever', 'used']"
272,"['this', 'is', 'truly', 'the', 'best', 'moisturizer']"
273,"['so', 'many', 'different', 'moisturizers', 'and', 'this', 'is']"
274,"['have', 'tried', 'so', 'many', 'different', 'moisturizers', 'and', 'this']"
275,"['skin', 'and', 'have', 'tried', 'so', 'many', 'different']"
276,"['difference', 'the', 'bottle', 'will', 'last', 'me', 'month', 'and']"
277,"['have', 'never', 'ever', 'found', 'product', 'that', 'worked']"
278,"['is', 'the', 'only', 'one', 'that', 'ha', 'made', 'difference']"
279,"['this', 'is', 'truly']"
280,"['not', 'impressed', 'with', 'this', 'have', 'very', 'dry', 'skin']"
281,"['dry', 'skin', 'and', 'got', 'it', 'to', 'use', 'on']"
282,"['do', 'much', 'for', 'my', 'dry', 'patch']"
283,"['is', 'that', 'when', 'rubbing', 'it', 'in', 'the', 'moisturizer']"
284,"['it', 'to', 'use', 'on', 'my', 'face', 'and', 'it']"
285,"['for', 'too', 'long', 'not', 'horrible', 'product', 'but']"
286,"['huge', 'on', 'the', 'smell']"
287,"['patch', 'nothing', 'to', 'cry', 'home', 'about', 'wasn', 'huge']"
288,"['just', 'okay']"
289,"['of', 'separating', 'or', 'something', 'if']"
290,"['it', 'work', 'really', 'well', 'for', 'my', 'sensitive', 'skin']"
291,"['sensitive', 'skin', 'it', 'not', 'perfect', 'but', 'it', 'work']"
292,"['really', 'well', 'for', 'my', 'sensitive']"
293,"['skin', 'it', 'not', 'perfect', 'but', 'it']"
294,"['it', 'doesn', 'have', 'fragrance', 'and', 'soak', 'in', 'but']"
295,"['skin', 'is', 'still', 'dry', 'after', 'use', 'so', 'mix']"
296,"['my', 'sensitive']"
297,"['mix', 'in', 'little', 'q10', 'or', 'rosehip']"
298,"['not', 'perfect', 'but', 'it', 'work', 'good', 'enough']"
299,"['use', 'so']"
300,"['this', 'repair', 'cream', 'make', 'my', 'skin', 'barrier', 'very']"
301,"['repair', 'cream', 'make', 'my', 'skin', 'barrier', 'very', 'happy']"
302,"['cream', 'make', 'my', 'skin', 'barrier', 'very', 'happy', 'every']"
303,"['something', 'and', 'this', 'repair', 'cream', 'make', 'my', 'skin']"
304,"['this', 'stuff', 'so', 'much', 'my', 'skin', 'wa', 'good']"
305,"['make', 'my', 'skin', 'barrier', 'very', 'happy', 'every', 'night']"
306,"['wa', 'missing', 'something', 'and', 'this', 'repair', 'cream', 'make']"
307,"['love', 'this', 'stuff', 'so', 'much']"
308,"['barrier', 'very', 'happy', 'every', 'night']"
309,"['but', 'it']"
310,"['skin', 'without', 'leaving', 'your', 'face', 'feeling', 'greasy', 'it']"
311,"['greasy', 'it', 'doe', 'burn', 'little', 'when', 'you']"
312,"['week', 'and', 'love', 'it', 'so', 'far', 'it', 'hydrate']"
313,"['it', 'hydrate', 'and', 'moisture', 'skin']"
314,"['it', 'doe', 'burn', 'little', 'when', 'you', 'first', 'apply']"
315,"['have', 'been', 'using', 'this', 'for']"
316,"['go', 'away', 'pretty', 'quickly']"
317,"['it', 'not', 'too', 'bothersome', 'will', 'definitely', 'be', 'purchasing']"
318,"['and', 'it', 'not']"
319,"['you', 'first']"
320,"['my', 'skin', 'barrier', 'so', 'bought', 'this', 'to', 'supplement']"
321,"['product', 'maybe', 'll', 'wait', 'until', 'my', 'skin']"
322,"['my', 'skin', 'felt', 'like', 'it', 'wa', 'burning', 'on']"
323,"['routine', 'to', 'remedy', 'it', 'very', 'thick', 'and', 'moisturizing']"
324,"['burning', 'on', 'first', 'application', 'thought']"
325,"['exfoliating', 'and', 'messed']"
326,"['ha', 'healed', 'to', 'give', 'it', 'another', 'try']"
327,"['it', 'again', 'more', 'time', 'sure', 'it', 'this', 'product']"
328,"['looking', 'forward', 'to', 'using', 'this']"
329,"['nothing', 'of', 'it', 'but']"
330,"['this', 'cream', 'is', 'very', 'lightweight', 'and', 'ha']"
331,"['never', 'had', 'cream', 'that', 'lasted', 'me', 'such']"
332,"['time', 'think', 'this', 'cream', 'would', 'suit', 'summer', 'cuz']"
333,"['whipped', 'texture', 'it', 'smell', 'like', 'oat']"
334,"['cream', 'left', 'this', 'residue', 'which', 'wa', 'clearly', 'due']"
335,"['feel', 'moisturized', 'when', 'washed', 'my', 'face']"
336,"['oat', 'ceramides', 'niacinamide', 'and', 'many', 'silicone']"
337,"['outright', 'hated', 'how', 'it', 'made', 'my', 'skin']"
338,"['hydrating', 'enough', 'used', 'it', 'from', 'september', 'to', 'march']"
339,"['burning', 'sensation', 'for', 'many', 'day']"
340,"['have', 'struggled', 'with', 'finding', 'skin', 'care', 'product', 'that']"
341,"['skin', 'care', 'product', 'that', 'doesn', 'take', 'layer']"
342,"['rosacea', 'flare', 'ups', 'my', 'skin']"
343,"['face', 'cleanser', 'and', 'the', 'ultra', 'repair']"
344,"['product', 'finally', 'pulled', 'the', 'trigger', 'on', 'this', 'moisturizer']"
345,"['moisturizer', 'pair', 'this', 'with', 'the', 'pure', 'skin']"
346,"['the', 'product', 'my', 'dermatologist', 'gave', 'me', 'burned', 'my']"
347,"['wild', 'out', 'hydrating', 'toner', 'and', 'my', 'skin']"
348,"['take', 'layer', 'of', 'my', 'skin', 'off']"
349,"['last', 'for', 'week', 'on', 'top']"
350,"['very', 'soothing', 'and', 'moisturizing', 'smell', 'like', 'medicine', 'tho']"
351,"['very', 'soothing', 'and', 'moisturizing', 'smell', 'like', 'medicine']"
352,"['very', 'soothing', 'and', 'moisturizing', 'smell', 'like']"
353,"['very', 'soothing', 'and', 'moisturizing', 'smell']"
354,"['very', 'soothing', 'and', 'moisturizing']"
355,"['soothing', 'and', 'moisturizing', 'smell', 'like', 'medicine', 'tho']"
356,"['soothing', 'and', 'moisturizing']"
357,"['very', 'soothing', 'and']"
358,"['and', 'moisturizing', 'smell', 'like']"
359,"['like', 'medicine']"
360,"['it', 'help', 'repair', 'my', 'skin', 'and', 'keep', 'it']"
361,"['it', 'help', 'repair', 'my', 'skin', 'and', 'keep']"
362,"['it', 'help', 'repair', 'my', 'skin', 'and']"
363,"['help', 'repair', 'my', 'skin', 'and', 'keep', 'it', 'in']"
364,"['skin', 'and', 'keep', 'it', 'in', 'stable', 'condition', 'when']"
365,"['help', 'repair']"
366,"['is', 'dry', 'or', 'when', 'my', 'skin']"
367,"['condition', 'when', 'the', 'weather', 'is']"
368,"['sensitive', 'didn', 'realise', 'that', 'really', 'need', 'it', 'until']"
369,"['need', 'it', 'until', 'switched', 'to', 'something', 'else']"
370,"['absolutely', 'love', 'this', 'moisturizer', 'it', 'feel', 'so', 'nice']"
371,"['absolutely', 'love', 'this', 'moisturizer', 'it', 'feel', 'so']"
372,"['this', 'moisturizer', 'it', 'feel', 'so', 'nice', 'on', 'my']"
373,"['moisturizer', 'it', 'feel', 'so']"
374,"['it', 'feel', 'so', 'nice', 'on', 'my', 'skin', 'and']"
375,"['my', 'skin', 'and', 'it', 'doesn', 'feel', 'too', 'heavy']"
376,"['it', 'doesn', 'feel', 'too', 'heavy', 'which', 'love']"
377,"['heavy', 'which']"
378,"['absolutely', 'love']"
379,"['it', 'doesn']"
380,"['moisturizer', 'that', 'could', 'clear', 'up', 'my', 'eczema']"
381,"['could', 'clear', 'up', 'my', 'eczema', 'and', 'it']"
382,"['this', 'is', 'the', 'only', 'moisturizer', 'that', 'could', 'clear']"
383,"['good', 'a', 'facial', 'moisturizer', 'too', 'and', 'doesn', 'clog']"
384,"['up', 'my', 'eczema', 'and', 'it', 'did']"
385,"['facial', 'moisturizer', 'too', 'and', 'doesn']"
386,"['doesn', 'clog', 'pore']"
387,"['just', 'few', 'day', 'it', 'really', 'good', 'a', 'facial']"
388,"['could', 'clear', 'up', 'my']"
389,"['it', 'really']"
390,"['thick', 'and', 'creamy', 'yet', 'it', 'doesn', 'feel', 'heavy']"
391,"['creamy', 'yet', 'it', 'doesn', 'feel', 'heavy', 'and', 'doesn']"
392,"['and', 'creamy', 'yet', 'it', 'doesn', 'feel', 'heavy', 'and']"
393,"['so', 'thick', 'and', 'creamy', 'yet', 'it', 'doesn', 'feel']"
394,"['so', 'thick', 'and', 'creamy', 'yet', 'it', 'doesn']"
395,"['heavy', 'and', 'doesn', 'leave', 'you', 'looking', 'like', 'greasy']"
396,"['thick', 'and', 'creamy']"
397,"['doesn', 'leave', 'you', 'looking', 'like', 'greasy', 'mess']"
398,"['and', 'creamy']"
399,"['so', 'thick']"
400,"['really', 'thick', 'and', 'moisturizing', 'and', 'it', 'clean', 'love']"
401,"['thick', 'and', 'moisturizing', 'and', 'it', 'clean', 'love', 'it']"
402,"['really', 'thick', 'and', 'moisturizing', 'and', 'it', 'clean']"
403,"['thick', 'and', 'moisturizing', 'and', 'it', 'clean', 'love']"
404,"['really', 'thick', 'and', 'moisturizing', 'and', 'it']"
405,"['thick', 'and', 'moisturizing', 'and', 'it', 'clean']"
406,"['moisturizing', 'and', 'it', 'clean', 'love', 'it']"
407,"['really', 'thick']"
408,"['clean', 'love', 'it']"
409,"['love', 'it']"
410,"['first', 'application', 'love', 'to', 'use', 'this', 'after', 'swimming']"
411,"['chaffing', 'area', 'use', 'it', 'on', 'my', 'face', 'couple']"
412,"['this', 'after', 'swimming', 'or', 'in', 'chaffing', 'area']"
413,"['on', 'first', 'application']"
414,"['doe', 'the', 'job', 'the', 'on', 'first']"
415,"['area', 'use', 'it', 'on']"
416,"['on', 'my', 'face', 'couple', 'of', 'time', 'month', 'living']"
417,"['use', 'it', 'on']"
418,"['time', 'month', 'living', 'in', 'the', 'desert', 'this', 'stuff']"
419,"['stuff', 'is', 'amazing']"
420,"['oily', 'skin', 'and', 'find', 'that', 'it', 'rich']"
421,"['worth', 'on', 'this', 'stuff', 'have', 'normal', 'to', 'oily']"
422,"['every', 'day', 'twice', 'day', 'since', 'mid', 'january']"
423,"['week', 'worth', 'of', 'product']"
424,"['but', 'not', 'heavy', 'lightly', 'herbally', 'scented', 'didn', 'bother']"
425,"['the', 'normal', '6oz', 'size', 'in']"
426,"['bother', 'my', 'skin', 'might', 'bother', 'yours']"
427,"['product', 'just', 'don', 'leave', 'the', 'lid', 'unscrewed', 'overnight']"
428,"['layer', 'fine', 'with', 'other', 'product', 'just']"
429,"['this', 'stuff', 'have', 'normal', 'to']"
430,"['use', 'retinol', 'every', 'other', 'day', 'and', 'my', 'skin']"
431,"['use', 'retinol']"
432,"['say', 'it', 'good', 'for', 'sensitive', 'skin', 'it', 'still']"
433,"['for', 'sensitive', 'skin', 'it', 'still', 'ended', 'up', 'burning']"
434,"['it', 'say', 'it', 'good', 'for', 'sensitive']"
435,"['my', 'skin', 'ha', 'gotten', 'bit', 'drier', 'from', 'it']"
436,"['drier', 'from', 'it', 'so', 'wanted', 'to', 'try', 'this']"
437,"['skin', 'it', 'still']"
438,"['burning', 'my', 'face', 'so', 'bad', 'that', 'had', 'to']"
439,"['this', 'and', 'even', 'though', 'it', 'say', 'it', 'good']"
440,"['upper', 'arm', 'and', 'this', 'ha', 'made', 'them', 'smoother']"
